2022/9/19 13:18:44-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:19:00-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:20:00-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:21:00-2	-0.1501	0.1495	0.0146	0.0135538918597743	0.0137070409982174	0.0121269508520979	0.0011887035718349	0.012185070912838	2	-0.002	0.002	0.002	0.00133739713501974	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:22:00-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:23:00-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:24:00-2	-0.0111	0.0113	0.0116	0.0108249777249777	0.0139600534600535	0.0121195857216446	0.00122179861870508	0.0121810159645639	2	0.002	0.002	0.001	0.00172630295641573	0.00347302651630601	0.00166941481255712	0.000335676109838313	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:24:00-2	-0.0113	0.0115	0.0116	0.0108249777249777	0.0139600534600535	0.0121195857216446	0.00122179861870508	0.0121810159645639	2	0.001	0.002	0.001	0.00172630295641573	0.00347302651630601	0.00166941481255712	0.000335676109838313	0.00170282831404147	0	0	0	0	0	0	0	0	0	
2022/9/19 13:25:00-2	-0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:25:00-2	-0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:25:00-2	-0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/19 13:26:00-2	-0.0212	0.0214	0.0217	0.0133087021087022	0.0139600534600535	0.0121956765046471	0.00111207169807105	0.0122462740810277	2	0.002	0.001	0.001	0.0022868028040232	0.00347302651630601	0.00181374580920449	0.000524056598310665	0.00188793781111555	2	0.001	0.001	0.001	0.00228571428571434	0.00390026954177892	0.00147795533307658	0.00032038050716484	0.00151228159941881	
2022/9/19 13:26:00-2	-0.0229	0.0241	0.0246	0.0133087021087022	0.0139600534600535	0.0121956765046471	0.00111207169807105	0.0122462740810277	2	0.001	0.001	0.001	0.0022868028040232	0.00347302651630601	0.00181374580920449	0.000524056598310665	0.00188793781111555	2	0	0	0	0.00228571428571434	0.00390026954177892	0	0	0	
2022/9/19 13:27:00-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:39:17-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:40:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:41:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:42:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:43:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:43:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:44:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:45:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:46:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:47:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:48:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:49:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:50:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:51:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2022/9/20 13:52:00-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
